"Date","Site","Salinity","Code","lat","lon","Year","Month","Nights_Fished","Hours_Fished","Weather","Subsample","Metacarcinus_magister_megalopae","Metacarcinus_magister_instar","TotalMmagister","CPUE_Night","CPUE_Hour","Error_Code","week","loc.lat"
2025-05-23,"Horseshoe Bay",17.481875,"HOR",49.375655,-123.27313,"2025","May",2,17,"Overcast,Windy","N",0,0,0,0,0,"None",21,"Horseshoe Bay"
2025-05-23,"Miners Bay",27.2902083333333,"MIN",48.852116,-123.30153,"2025","May",2,17,"Sunny,Windy","N",4,0,4,2,0.235294118,"None",21,"Miners Bay"
2025-05-23,"Pender Harbour",24.1847916666667,"PDH",49.623357,-124.02568,"2025","May",1,8.5,"Sunny","N",0,0,0,0,0,"None",21,"Pender Harbour"
2025-05-23,"Port Moody",19.4529166666667,"MOO",49.30056,-122.87578,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",21,"Port Moody"
2025-05-23,"Quathiaski Cove",28.4310416666667,"QUA",50.042604,-125.21604,"2025","May",2,17,"Overcast","N",15,0,15,7.5,0.882352941,"None",21,"Quathiaski Cove"
2025-05-23,"Tofino",23.7222916666667,"TOF",49.151969,-125.89702,"2025","May",2,17,"Overcast","N",100,69,169,84.5,9.941176471,"BAT",21,"Tofino"
2025-05-23,"Whaler Bay",19.7352083333333,"WHA",48.884619,-123.32731,"2025","May",2,17,"Overcast,Windy","N",0,0,0,0,0,"None",21,"Whaler Bay"
2025-05-24,"Hope Bay",26.9804166666667,"HOP",48.803253,-123.27521,"2025","May",1,8.5,"Sunny","N",1,0,1,1,0.117647059,"None",21,"Hope Bay"
2025-05-24,"Indian Arm",12.4052083333333,"IND",49.461387,-122.88625,"2025","May",2,17,"Sunny,Windy","N",0,0,0,0,0,"None",21,"Indian Arm"
2025-05-24,"Silva Bay",25.7989583333333,"SIL",49.149062,-123.69713,"2025","May",2,17,"Sunny","N",0,0,0,0,0,"None",21,"Silva Bay"
2025-05-25,"Echo Bay",25.74125,"ECH",50.745688,-126.499202,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",21,"Echo Bay"
2025-05-25,"Horseshoe Bay",17.6697916666667,"HOR",49.375655,-123.27313,"2025","May",2,17,"Sunny,Overcast","N",0,0,0,0,0,"None",21,"Horseshoe Bay"
2025-05-25,"Port Moody",20.83875,"MOO",49.30056,-122.87578,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",21,"Port Moody"
2025-05-25,"Whaler Bay",26.981875,"WHA",48.884619,-123.32731,"2025","May",2,17,"Sunny,Overcast,Windy","N",1,0,1,0.5,0.058823529,"None",21,"Whaler Bay"
2025-05-26,"Daajing Giids",26.525625,"DAA",53.252061,-132.07252,"2025","May",2,15,"Rain","N",0,0,0,0,0,"None",21,"Daajing Giids"
2025-05-26,"Indian Arm",9.68791666666667,"IND",49.461387,-122.88625,"2025","May",2,17,"Sunny,Rain","N",0,0,0,0,0,"None",21,"Indian Arm"
2025-05-26,"Miners Bay",27.2297916666667,"MIN",48.852116,-123.30153,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",21,"Miners Bay"
2025-05-26,"Pender Harbour",20.7910416666667,"PDH",49.623357,-124.02568,"2025","May",1,8.5,"Rain","N",0,0,0,0,0,"None",21,"Pender Harbour"
2025-05-26,"Quathiaski Cove",28.4245833333333,"QUA",50.042604,-125.21604,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",21,"Quathiaski Cove"
2025-05-26,"Silva Bay",26.5354166666667,"SIL",49.149062,-123.69713,"2025","May",1,8.5,"Sunny","N",0,0,0,0,0,"None",21,"Silva Bay"
2025-05-26,"Tofino",23.9475,"TOF",49.151969,-125.89702,"2025","May",2,17,"Overcast,Windy","N",0,1,1,0.5,0.058823529,"None",21,"Tofino"
2025-05-27,"Echo Bay",28.9291666666667,"ECH",50.745688,-126.499202,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",21,"Echo Bay"
2025-05-27,"Hope Bay",27.05375,"HOP",48.803253,-123.27521,"2025","May",1,8.5,"Overcast","N",1,0,1,1,0.117647059,"None",21,"Hope Bay"
2025-05-27,"Horseshoe Bay",17.2341666666667,"HOR",49.375655,-123.27313,"2025","May",2,17,"Sunny","N",0,0,0,0,0,"None",21,"Horseshoe Bay"
2025-05-27,"Port Moody",21.3739583333333,"MOO",49.30056,-122.87578,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",21,"Port Moody"
2025-05-27,"Whaler Bay",26.4035416666667,"WHA",48.884619,-123.32731,"2025","May",2,17,"Sunny,Windy","N",4,0,4,2,0.235294118,"None",21,"Whaler Bay"
2025-05-28,"Daajing Giids",25.8147916666667,"DAA",53.252061,-132.07252,"2025","May",2,15,"Rain","N",0,0,0,0,0,"None",22,"Daajing Giids"
2025-05-28,"Ford Cove",28.2997916666667,"FOR",49.497028,-124.67667,"2025","May",1,8,"Sunny","N",0,0,0,0,0,"None",22,"Ford Cove"
2025-05-28,"Indian Arm",9.11354166666667,"IND",49.461387,-122.88625,"2025","May",2,17,"Sunny","N",0,0,0,0,0,"None",22,"Indian Arm"
2025-05-28,"Miners Bay",24.353125,"MIN",48.852116,-123.30153,"2025","May",2,17,"Sunny","N",0,0,0,0,0,"None",22,"Miners Bay"
2025-05-28,"Pender Harbour",21.201875,"PDH",49.623357,-124.02568,"2025","May",1,8.5,"Sunny","N",1,0,1,1,0.117647059,"None",22,"Pender Harbour"
2025-05-28,"Quathiaski Cove",27.9033333333333,"QUA",50.042604,-125.21604,"2025","May",2,16,"Overcast","N",5,0,5,2.5,0.3125,"None",22,"Quathiaski Cove"
2025-05-28,"Tofino",24.2127083333333,"TOF",49.151969,-125.89702,"2025","May",2,17,"Sunny,Windy","N",22,2,24,12,1.411764706,"None",22,"Tofino"
2025-05-29,"Echo Bay",26.5354166666667,"ECH",50.745688,-126.499202,"2025","May",2,17,"Overcast","N",0,0,0,0,0,"None",22,"Echo Bay"
2025-05-29,"Ford Cove",28.3872916666667,"FOR",49.497028,-124.67667,"2025","May",1,8,"Sunny","N",0,0,0,0,0,"None",22,"Ford Cove"
2025-05-29,"Hope Bay",25.9002083333333,"HOP",48.803253,-123.27521,"2025","May",1,8,"Rain,Overcast","N",2,0,2,2,0.25,"None",22,"Hope Bay"
2025-05-29,"Horseshoe Bay",17.7166666666667,"HOR",49.375655,-123.27313,"2025","May",2,16,"Rain,Overcast,Windy","N",0,0,0,0,0,"None",22,"Horseshoe Bay"
2025-05-29,"Whaler Bay",22.4254166666667,"WHA",48.884619,-123.32731,"2025","May",2,16,"Sunny","N",0,0,0,0,0,"None",22,"Whaler Bay"
2025-05-30,"Daajing Giids",25.84875,"DAA",53.252061,-132.07252,"2025","May",2,15,"Rain,Windy","N",0,0,0,0,0,"None",22,"Daajing Giids"
2025-05-30,"Indian Arm",10.773125,"IND",49.461387,-122.88625,"2025","May",2,17,"Sunny,Windy","N",0,0,0,0,0,"None",22,"Indian Arm"
2025-05-30,"Miners Bay",24.5739583333333,"MIN",48.852116,-123.30153,"2025","May",2,17,"Sunny","N",0,0,0,0,0,"None",22,"Miners Bay"
2025-05-30,"Pender Harbour",21.2716666666667,"PDH",49.623357,-124.02568,"2025","May",1,8,"Overcast","N",1,0,1,1,0.125,"None",22,"Pender Harbour"
2025-05-30,"Port Moody",22.1733333333333,"MOO",49.30056,-122.87578,"2025","May",2,16,"Overcast","N",0,0,0,0,0,"None",22,"Port Moody"
2025-05-30,"Quathiaski Cove",28.0752083333333,"QUA",50.042604,-125.21604,"2025","May",2,16,"Overcast","Y",1338.666667,0,1338.666667,669.3333335,83.66666669,"None",22,"Quathiaski Cove"
2025-05-30,"Tofino",24.131875,"TOF",49.151969,-125.89702,"2025","May",2,16,"Rain","N",52,13,65,32.5,4.0625,"None",22,"Tofino"
2025-05-31,"Echo Bay",26.1633333333333,"ECH",50.745688,-126.499202,"2025","May",2,17,"Overcast","N",2,0,2,1,0.117647059,"None",22,"Echo Bay"
2025-05-31,"Ford Cove",28.2516666666667,"FOR",49.497028,-124.67667,"2025","May",1,8,"Rain","N",2,0,2,2,0.25,"None",22,"Ford Cove"
2025-05-31,"Hope Bay",25.8497916666667,"HOP",48.803253,-123.27521,"2025","May",1,8,"Rain","N",1,0,1,1,0.125,"None",22,"Hope Bay"
2025-05-31,"Horseshoe Bay",16.9272916666667,"HOR",49.375655,-123.27313,"2025","May",2,16,"Rain","N",0,0,0,0,0,"None",22,"Horseshoe Bay"
2025-05-31,"Whaler Bay",19.785,"WHA",48.884619,-123.32731,"2025","May",2,16,"Rain","N",0,0,0,0,0,"None",22,"Whaler Bay"
2025-06-01,"Indian Arm",9.44270833333333,"IND",49.461387,-122.88625,"2025","Jun",2,17,"Sunny,Windy","N",0,0,0,0,0,"None",22,"Indian Arm"
2025-06-01,"Port Moody",20.701875,"MOO",49.30056,-122.87578,"2025","Jun",2,16,"Overcast","N",0,0,0,0,0,"None",22,"Port Moody"
2025-06-01,"Whaler Bay",15.569375,"WHA",48.884619,-123.32731,"2025","Jun",1,8,"Sunny","N",0,0,0,0,0,"None",22,"Whaler Bay"
2025-06-02,"Daajing Giids",26.37,"DAA",53.252061,-132.07252,"2025","Jun",2,15,"Overcast,Windy","N",0,0,0,0,0,"None",22,"Daajing Giids"
